 	Area	Mean	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	1	255	255	255	0.500	0.500	0.500	0.500	2.828	0	0	1	1	1.128	1.128	0	1	1	1.000	1
2	4	255	255	255	100.500	0.750	100.500	0.750	7.071	99	0	3	2	2.734	1.863	0	1	1.468	0.681	0.800
3	1	255	255	255	135.500	0.500	135.500	0.500	2.828	135	0	1	1	1.128	1.128	0	1	1	1.000	1
4	12	255	255	255	177.500	0.917	177.500	0.917	15.071	174	0	7	2	6.944	2.200	0	0.664	3.156	0.317	0.923
5	11	255	255	255	185.864	1.409	185.864	1.409	11.071	184	0	4	3	4.384	3.195	15.071	1	1.372	0.729	0.957
6	15	255	255	255	209.233	2.567	209.233	2.567	13.314	207	0	4	5	5.235	3.648	62.451	1	1.435	0.697	0.882
7	11	255	255	255	244.227	1.227	244.227	1.227	11.899	242	0	5	3	4.738	2.956	9.992	0.976	1.603	0.624	0.880
8	41	255	255	255	273.622	4.354	273.622	4.354	27.799	269	0	9	8	10.807	4.831	40.663	0.667	2.237	0.447	0.781
9	1	255	255	255	279.500	0.500	279.500	0.500	2.828	279	0	1	1	1.128	1.128	0	1	1	1.000	1
10	3	255	255	255	282.500	0.500	282.500	0.500	6.243	281	0	3	1	3.385	1.128	0	0.967	3	0.333	1
11	5	255	255	255	333.100	0.700	333.100	0.700	9.071	331	0	4	2	3.732	1.706	174.848	0.764	2.188	0.457	0.769
12	1	255	255	255	405.500	0.500	405.500	0.500	2.828	405	0	1	1	1.128	1.128	0	1	1	1.000	1
13	12	255	255	255	87.333	2.417	87.333	2.417	11.899	85	1	5	3	4.911	3.111	170.583	1	1.579	0.633	0.889
14	21	255	255	255	27.119	4.500	27.119	4.500	16.142	24	2	6	5	6.020	4.442	141.343	1	1.355	0.738	0.857
15	57	255	255	255	262.605	6.640	262.605	6.640	28.971	259	2	8	10	10.652	6.813	67.643	0.853	1.564	0.640	0.870
16	9	255	255	255	194.611	4.833	194.611	4.833	10.485	193	3	3	4	3.919	2.924	69.699	1	1.340	0.746	0.857
17	2	255	255	255	332	4.500	332	4.500	4.243	331	4	2	1	2.257	1.128	0	1	2	0.500	1
18	1	255	255	255	280.500	7.500	280.500	7.500	2.828	280	7	1	1	1.128	1.128	0	1	1	1.000	1
19	16	255	255	255	337.500	10	337.500	10	13.314	335	8	5	4	4.963	4.105	0	1	1.209	0.827	0.889
20	4	255	255	255	235	10	235	10	5.657	234	9	2	2	2.257	2.257	0	1	1	1.000	1
21	2	255	255	255	212.500	11	212.500	11	4.828	212	10	1	2	2.257	1.128	90	1	2	0.500	1
22	25	255	255	255	312.740	12.540	312.740	12.540	17.314	310	10	6	5	6.416	4.962	152.969	1	1.293	0.773	0.926
23	35	255	255	255	348.214	13.557	348.214	13.557	21.556	345	10	7	7	7.140	6.242	140.481	0.947	1.144	0.874	0.875
24	4	255	255	255	195	12	195	12	5.657	194	11	2	2	2.257	2.257	0	1	1	1.000	1
25	8	255	255	255	207.250	12.750	207.250	12.750	10.485	205	11	4	3	3.797	2.682	172.982	0.914	1.416	0.706	0.800
26	18	255	255	255	268	14.222	268	14.222	15.899	266	11	4	6	5.864	3.908	65.817	0.895	1.500	0.667	0.878
27	17	255	255	255	174.500	15.441	174.500	15.441	18.142	172	12	6	6	7.041	3.074	47.614	0.649	2.290	0.437	0.708
28	1	255	255	255	272.500	12.500	272.500	12.500	2.828	272	12	1	1	1.128	1.128	0	1	1	1.000	1
29	70	255	255	255	10.171	19.543	10.171	19.543	31.213	6	14	9	11	10.863	8.204	107.867	0.903	1.324	0.755	0.886
30	2	255	255	255	95.500	15	95.500	15	4.828	95	14	1	2	2.257	1.128	90	1	2	0.500	1
31	9	255	255	255	296.389	16.167	296.389	16.167	10.485	295	14	3	4	3.919	2.924	69.699	1	1.340	0.746	0.857
32	19	255	255	255	393.974	16.500	393.974	16.500	17.314	391	14	5	5	5.008	4.831	118.862	0.796	1.037	0.965	0.864
33	1	255	255	255	353.500	15.500	353.500	15.500	2.828	353	15	1	1	1.128	1.128	0	1	1	1.000	1
34	6	255	255	255	43	17.500	43	17.500	7.657	42	16	2	3	3.385	2.257	90.000	1	1.500	0.667	1
35	15	255	255	255	142.367	17.967	142.367	17.967	13.314	140	16	5	4	4.640	4.116	14.036	1	1.127	0.887	0.857
36	6	255	255	255	210	17.500	210	17.500	7.657	209	16	2	3	3.385	2.257	90.000	1	1.500	0.667	1
37	19	255	255	255	288.658	18.763	288.658	18.763	15.899	286	16	5	5	5.559	4.352	144.280	0.944	1.277	0.783	0.864
38	15	255	255	255	332.633	17.967	332.633	17.967	13.314	330	16	5	4	4.640	4.116	165.964	1	1.127	0.887	0.857
39	3	255	255	255	31.833	17.833	31.833	17.833	5.657	31	17	2	2	2.365	1.615	45.000	1	1.464	0.683	0.857
40	2	255	255	255	76	17.500	76	17.500	4.243	75	17	2	1	2.257	1.128	0	1	2	0.500	1
41	23	255	255	255	279.543	19.848	279.543	19.848	18.142	276	17	7	5	6.315	4.637	4.804	0.878	1.362	0.734	0.821
