// Sample: , Map: , Thickness:(1.0):, Neighbors:(1.0):
//LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Mask_Grad_X,Mask_Grad_Y,Mask_Grad_Z,Mask_Angle, Mask_Distance_Mean,Mask_Distance_COV, Mask_Distance_STD, SHAPET_XX, SHAPET_XY, SHAPET_XZ, SHAPET_YX, SHAPET_YY, SHAPET_YZ, SHAPET_ZX, SHAPET_ZY, SHAPET_ZZ, Thickness, Thickness_STD, Neighbors, Neighbors_STD
1, 0 ,2.0,2.0,2.0,384.77530639970706,81.70739791494036,343.54034166457905,28.644233157698192,41.05226238081529,44.12077101925854,132.0,177.0,272.0,0.0029967474035300446,0.31710794722718083,0.9483847158776667,44.493044175723476,0.04278931844433936,-0.9475610166327917,0.3166973223519566,40.66741618385801,-0.9990796233194172,-0.03963167373697056,0.016408433951415207,28.617355852973656,280.22712421490917,232.70934984883036,136.68836591124693,63.353030971951654,20.947941229988004,2075720.0,8913649.530772617, 0.0, 0.0,0.0,NaN, 189.6134219391532,189.6134219391532,0.0, 820.4920931925766, -32.74786575505037, 14.612482364047684, -32.74786575505037, 1685.2882465833027, 98.52178709719679, 14.612482364047684, 98.52178709719679, 1946.6424353338446, 568.7791426589328, 197.1368725092002, 24.0, 0.0
2, 0 ,2.0,2.0,2.0,400.12553443907314,379.43867054891535,296.58110985865505,20.16071678985251,25.076317663786792,29.865486935632486,96.0,110.0,154.0,-0.04472735117573836,-0.06335057354421947,0.9969885500287456,29.902027099536454,0.10809882844769687,-0.9924344064247328,-0.058211615959565886,25.10535206593603,0.9931334791180074,0.10516964284434499,0.05123708499666422,20.070216539494773,155.13512094336681,117.2337524479621,100.72605266402576,41.86876539096562,13.199621342846914,608582.0,1831912.0088071227, 0.0, 0.0,0.0,NaN, 220.17407208174683,220.17407208174683,0.0, 406.45450148064094, -23.010533588893566, -23.340507328478054, -23.010533588893566, 628.8217075751454, -17.890586898126575, -23.340507328478054, -17.890586898126575, 891.9473099024347, 334.0032353898078, 97.30914576054694, 12.0, 0.0
3, 0 ,2.0,2.0,2.0,235.4053671050832,97.01485491697753,90.64160036972238,19.42528093252458,22.75877802309855,22.11752501974893,101.0,104.0,101.0,0.06199483485241196,0.8025340486045263,0.5933765594308982,23.621010250785922,-0.27331131160527533,-0.5581445784704651,0.7834382914260898,21.36242647575086,-0.9599258134878059,0.21074565322790054,-0.18473955246594922,19.240141351138817,108.76943171971342,108.90449761004928,108.10231682639312,35.8525204113611,9.954155391832789,424102.0,1280523.866163836, 0.0, 0.0,0.0,NaN, 237.2282265566932,237.2282265566932,2.6973983046972182E-6, 377.341539307503, 22.48709788503144, -11.543661691672227, 22.48709788503144, 517.9619771046736, 51.73674473987681, -11.543661691672227, 51.73674473987681, 489.18491299921976, 342.56289524689817, 95.40986633011977, 14.0, 0.0
4, 0 ,2.0,2.0,2.0,200.36011292332464,39.59580286939932,31.012412743573627,25.481669214492587,23.22081359262461,18.229362865269525,130.0,90.0,70.0,-0.964540829350488,0.26385885966044526,0.006284162200511853,25.660350293558455,0.2528064601902461,0.9304551810276565,-0.2652207567006565,23.37246139652022,-0.0758279776992,-0.25422757182784245,-0.9641672362824661,17.779364201623,136.67347311171852,117.51657029246306,84.48500139803326,37.35780795896809,11.190420226029367,453405.0,1356947.2164363014, 0.0, 0.0,-3.552713678800501E-15,89.63994165828285, 206.5763108386281,206.5763108386281,0.0, 649.3154659568193, -32.98756278626621, -17.507613977641796, -32.98756278626621, 539.2061839034199, -56.231832861456084, -17.507613977641796, -56.231832861456084, 332.3096704736676, 342.6873148730164, 105.10689307024161, 11.0, 0.0
5, 0 ,2.0,2.0,2.0,220.91029701186383,255.1512276166981,147.8026371410356,21.442179866267875,25.908186230011125,25.091341175267143,114.0,114.0,120.0,0.07434801171854383,0.7366545186227778,0.6721699884301165,28.05672102646444,0.6135593851568006,-0.565148046261898,0.5515002871190268,24.598027334348508,-0.7861407342451531,-0.3714132550125302,0.4939989270853624,19.19203088841224,128.70222333535347,123.69031930676414,110.10955333508863,40.29698694708558,11.693136281884419,577216.0,1752858.1045268315, -2.8421709430404007E-14, 0.0,0.0,85.73623846333524, 312.53795057071886,312.53795057071886,0.0, 459.76707741738335, -59.14652528076433, 101.03549095293309, -59.14652528076433, 671.2341137289382, 133.61082853095434, 101.03549095293309, 133.61082853095434, 629.5754019736563, 316.416121521233, 102.70998174028003, 16.0, 0.0
7, 0 ,2.0,2.0,2.0,244.5385096699677,149.65801036159323,436.2960688516655,24.311810047775946,21.044453746518077,23.643572177109995,118.0,99.0,126.0,-0.6988849387676812,0.4558271783885035,-0.5511637014590763,25.219272041030337,0.6711330116640596,0.15153549112853335,-0.7256841431250677,23.87540985736406,-0.24726569316915709,-0.8770738728127807,-0.4118265394687024,19.669894978013396,123.75282808646648,123.7624535334989,101.64647094988209,38.35935247163868,11.02323566556689,508223.0,1556812.6362999436, 0.0, 0.0,0.0,NaN, 250.361307242698,250.361307242698,0.0, 591.0641077991395, -60.73372564758342, 6.765866535889944, -60.73372564758342, 442.8690334893387, -82.72275981428957, 6.765866535889944, -82.72275981428957, 559.0185052942098, 322.03248377188754, 99.87917559233733, 18.0, 0.0
9, 0 ,2.0,2.0,2.0,410.20674023732624,222.89017036787718,163.43861671882496,14.145542054469425,22.947185333852527,21.469247245374085,72.0,105.0,103.0,-0.0034285055676194177,0.9060266555587249,0.42320673998253366,23.342756395444518,0.012883091338272212,0.4232141240263263,-0.9059380945639711,21.039532699653048,-0.9999111317047842,0.002346197285036304,-0.013123416138991791,14.143975384845184,107.98881303146834,102.1964557792196,72.60483232242188,32.86342085940449,10.372744162536643,279278.0,801272.2990457003, 0.0, 0.0,0.0,NaN, 266.2969178470186,266.2969178470186,0.0, 200.0963600147631, 0.2516250592584904, -3.3319088940457915, 0.2516250592584904, 526.5733147461765, 39.203255145827356, -3.3319088940457915, 39.203255145827356, 460.9285772830027, 320.2718509871884, 103.4264800834439, 9.0, 0.0
10, 0 ,2.0,2.0,2.0,179.26698990018912,169.02578165413024,114.28391831958142,21.167331136485906,22.28538883194026,22.729939532220314,107.0,109.0,113.0,-0.4608835471575556,0.7529588240750126,0.4697226471089544,23.682308866419326,0.4206645601427155,-0.2806957424332047,0.862699964077783,22.571502188420794,0.7814266976495017,0.5951998903120244,-0.18737504309045264,19.774229433392268,106.79871972623616,114.86215483084662,108.09789221533205,36.88103850383201,10.056520911802302,471692.0,1326051.0133778432, 0.0, 0.0,0.0,NaN, 271.6011460177239,271.6011460177239,0.0, 448.0559074416457, -72.92276923114252, 6.220890281341612, -72.92276923114252, 496.6385553907677, 31.38232632587972, 6.220890281341612, 31.38232632587972, 516.6501511383918, 314.88459418434064, 99.76321053093001, 13.0, 0.0
11, 0 ,2.0,2.0,2.0,82.98831687602758,30.122196212937567,190.15741784585703,24.839264691125177,18.963606823240802,27.274066394119888,124.0,83.0,142.0,0.2933673902549592,-0.04757908513423496,0.9548150632414552,27.493761992479165,-0.9247741341146254,0.2390553107098107,0.29604958924811997,24.9367714365461,0.2423393802243853,0.9698395687324916,-0.02613112537254738,18.513039556903394,142.66424255209034,130.1945247498101,87.20379347496194,39.66404941362569,12.134468918185961,522463.0,1619732.264481132, 1.4210854715202004E-14, 0.0,0.0,72.94033526295752, 209.65269138365608,209.65269138365608,0.0, 616.9890703957778, -67.47058856668306, 39.32047987806038, -67.47058856668306, 359.61838374646516, 0.983041808639195, 39.32047987806038, 0.983041808639195, 743.8746976708599, 319.53771654643486, 94.54028599336053, 13.0, 0.0
12, 0 ,2.0,2.0,2.0,270.8998992801179,388.6789431833844,315.4402964345162,19.24990420270595,22.95791577116577,25.747952454535906,121.0,97.0,125.0,-0.17481308601515702,-0.4805881669914205,0.859345913300158,27.230517729412654,0.16380621712681054,-0.8748176910674804,-0.45591833767240236,21.52172427869911,-0.9708799659012758,-0.061065711681669785,-0.23165290990693316,18.865207452613294,140.53587033134758,109.29381617153751,118.29748638091797,37.80262609727232,11.46922944751704,471605.0,1817014.0881794286, 0.0, 0.0,0.0,NaN, 254.7728318578957,254.7728318578957,0.0, 370.5588118133562, 17.021362262489145, -65.94003559317521, 17.021362262489145, 527.065896555942, -116.4600435454634, -65.94003559317521, -116.4600435454634, 662.9570556010415, 318.70339797075945, 96.58726493638949, 15.0, 0.0
